date,id,poh,scale_book_no,scale_book_fish_no,book_fish_concat,gr_lu_val,resolved_age_scale,resolved_age_cwt,ad_clip,e_no,whatman,est_egg_ret,comment,egg_len1,egg_len2,egg_len3,avg_egg_len,ttl_egg_wt,ss1_wt,ss1_n,ss2_wt,ss2_n,ss3_wt,ss3_n,avg_egg_wt,fec_est,sampler,egg_comments,ss1_ss2_diff
6-Oct-21,F001,674,1007498,1,10074981,3M,41,,N,,245641,100,,77,81,,7.9,1716,62.2,128,57.6,118,,,0.48699,3524,Jeff T,High ovarian fluid (OF),-0.0022
6-Oct-21,F002,582,1007498,2,10074982,31,31,,N,,245642,100,,74,74,,7.4,907.3,65.1,217,52.5,176,,,0.29924,3032,Chelsea L,Low OF,0.001704545
6-Oct-21,F003,602,1007498,3,10074983,41,41,,N,,245643,100,,82,84,,8.3,862.7,54.3,132,50.3,124,,,0.40859,2111,Joanne V,Low OF,0.005718475
6-Oct-21,F004,640,1007498,4,10074984,41,41,41,Y,1476491,245644,100,,80,79,,7.95,1498.4,59,156,55.8,152,,,0.37273,4020,Jeff T,High OF,0.011099865
6-Oct-21,F005,720,1007498,5,10074985,31,31,,N,,245645,100,,84,84,,8.4,1850.2,53.9,149,56.4,154,,,0.36403,5083,Chelsea L,Low OF,-0.0044888
6-Oct-21,F006,613,1007498,6,10074986,41,41,,N,,245646,100,,79,80,,7.95,1128.1,51.7,154,55.8,165,,,0.33699,3348,Joanne V,Low OF.  Little blood in roe,-0.002467532
6-Oct-21,F007,557,1007498,7,10074987,31,31,,N,,245647,100,,77,75,,7.6,860,50.4,163,54.6,176,,,0.30973,2777,Joanne V,Med OF,-0.001024819
6-Oct-21,F008,618,1007498,8,10074988,31,31,,N,,245648,100,,84,75,81,8,1495.8,53.6,147,53.9,147,,,0.36565,4091,Joanne V,Med OF.  Varying egg sizes confirmed,-0.002040816
6-Oct-21,F009,665,1007498,9,10074989,41,41,,N,,245649,100,,85,87,,8.6,1244.2,51.9,126,49.4,119,,,0.41347,3009,Jeff T,High OF,-0.003221289
6-Oct-21,F010,560,1007498,10,100749810,31,31,,N,,245650,100,,80,78,,7.9,861.3,56.4,176,52.1,161,,,0.32196,2675,Chelsea L,Low OF,-0.003147939
