ID,YEAR,STATAREA,SPECIES,PROJECT,SAMPLE_SOURCE,SAMPLE_NUMBER,SAMPLE_START_DATE,SAMPLE_END_DATE,ENPRO TAG PLACE NAME,GEAR TYPE 3,STANDARD LENGTH,COLOUR FLESH,WEIGHT DETAILS,CWT TEST,PROJECT TYPE,SET,CATCH DATE END,LIFE STAGE,SCALE FORMAT,SCALE BOOK NUMBER,GEAR TYPE 2,SEX FINAL,CWT TAG CODE,ENPRO SMOLT OR YEARLING,ENPRO RUN NUMBER,MARKS,LENGTH UNKOWN,ORIGIN,FORK LENGTH NF,CATCH DATE START,TAG COLOUR,POH LENGTH,OTOLITH BOX,DNA CONTAINER TYPE,RIVER SEGMENT,ENPRO LOCATIOIN,ENPRO STOCK CODE,RADIO FREQ,MATURITY,SEX EXTERNAL EXAM,RESOLVED AGE,COMMENTS,RECORD FLAGGED,WEIGHT,RECORD FLAGGED COMMENTS,ENPRO LIVE,ENPRO TRANSACTION TYPE,COLOUR SKIN,GIRTH,START TIME,TOTAL LENGTH,DNA CONTAINER,OTOLITH BATCH NUM,SITE RIVER LOCATION,CAPTURE SOURCE DESIGNATION,DNA SPECIMEN NUMBER,SAMPLER,RADIO TAG,HOOK LOCATION,FECUNDITY,KEPT RELEASED,TAG TYPE,ADIPOSE FIN CLIP,SCALE BOOK FORMAT,ENPRO STOCK TYPE,SPAWNED,SCALE FORM,TAG NUM,OTOLITH SPECIMEN,SCALE BOOK SPECIMEN NUM,SUB AREA,ENPRO SOURCE FACILITY,UST DST,MARK TYPE,DNA TISSUE TYPE,VESSEL NAME,FISHERY,POF LENGTH,CAUDAL FIN REMOVED,CWT HEAD LABEL,PRE SPAWNED MORTALITY,FINAL USE DISTRIBUTION,HARVESTED,SEA LICE COUNT,EGG RETENTION,SAMPLING AGENCY,SAMPLE STAGE,CU POPULATION ID,GEAR TYPE 1,RESPONSIBLE SECTOR,FISH CONDITION,PROJECT_1,FISCAL_YEAR,SAMPLE_NUM,SAMPLE_SOURCE_1,LOCATION,GEAR,SPECIES_1,HART_CD,LIFE_HISTORY_STAGE,SAMPLE_START_DT,SAMPLE_END_DT,CONTAINER_LABEL_LAB,CONTAINER_LABEL,SCALE_FORMAT,READING_METHOD,SCALE_CONTAINER_ADDR,AGE,AGE_UOM,AGE_EU,AGE_GR,PART_AGE_CODE,BROOD_YEAR,HATCHERY_SITE_NAME,OTO_SPEC_ID,LAB_NUMBER,BOX_CODE,HATCH_CODE,THERMAL_MARK,OTO_STOCK
2387376,2001,23,124,2001 Robertson Cr Fall Chinook,River Assessment,3,26-OCT-01,26-OCT-01,,,,,,,,,,Adult,5D,81599,,Female,,,3,,,,1052,,,882,15,,,A-1,104,,,,51,,,,,FALSE,Dead Pitch,,,,,,CN01-085,Robertson Cr,River,,,,,,Released,,NOMK,Single,M,,,,165,3,,Robertson Creek,,,,,,,,,,Natural Spawner,,,,,,,Hand,Hatchery,,SOMASS RIVER CHINOOK ENUMERATION - KEYSTREAM-2001,2001,501,ESCAPEMENT,STAMP RIVER,Hand,CHINOOK SALMON,124,Adult,26-OCT-01,26-OCT-01,2001702050181599,81599,5 SCALES DOWN PER FISH,Scales,3,04,EU,04,51,,,,28659,CN01-085,15,2-2H,2-2H,ROBERTSON CREEK HATCHERY
2387378,2001,23,124,2001 Robertson Cr Fall Chinook,River Assessment,5,26-OCT-01,26-OCT-01,,,,,,,,,,Adult,5D,81599,,Female,,,3,,,,828,,,647,15,,,A-1,104,,,,41,,,,,FALSE,Dead Pitch,,,,,,CN01-085,Robertson Cr,River,,,,,,Released,,NOMK,Single,M,,,,167,5,,Robertson Creek,,,,,,,,,,Natural Spawner,,,,,,,Hand,Hatchery,,SOMASS RIVER CHINOOK ENUMERATION - KEYSTREAM-2001,2001,501,ESCAPEMENT,STAMP RIVER,Hand,CHINOOK SALMON,124,Adult,26-OCT-01,26-OCT-01,2001702050181599,81599,5 SCALES DOWN PER FISH,Scales,5,03,EU,03,41,,,,28661,CN01-085,15,2-2H,2-2H,ROBERTSON CREEK HATCHERY
2387379,2001,23,124,2001 Robertson Cr Fall Chinook,River Assessment,6,26-OCT-01,26-OCT-01,,,,,,,,,,Adult,5D,81599,,Female,,,3,,,,875,,,712,15,,,A-1,104,,,,41,,,,,FALSE,Dead Pitch,,,,,,CN01-085,Robertson Cr,River,,,,,,Released,,NOMK,Single,M,,,,168,6,,Robertson Creek,,,,,,,,,,Natural Spawner,,,,,,,Hand,Hatchery,,SOMASS RIVER CHINOOK ENUMERATION - KEYSTREAM-2001,2001,501,ESCAPEMENT,STAMP RIVER,Hand,CHINOOK SALMON,124,Adult,26-OCT-01,26-OCT-01,2001702050181599,81599,5 SCALES DOWN PER FISH,Scales,6,03,EU,03,41,,,,28662,CN01-085,15,2-2H,2-2H,ROBERTSON CREEK HATCHERY
2387380,2001,23,124,2001 Robertson Cr Fall Chinook,River Assessment,7,26-OCT-01,26-OCT-01,,,,,,,,,,Adult,5D,81599,,Female,,,3,,,,888,,,716,15,,,A-1,104,,,,41,,,,,FALSE,Dead Pitch,,,,,,CN01-085,Robertson Cr,River,,,,,,Released,,NOMK,Single,M,,,,169,7,,Robertson Creek,,,,,,,,,,Natural Spawner,,,,,,,Hand,Hatchery,,SOMASS RIVER CHINOOK ENUMERATION - KEYSTREAM-2001,2001,501,ESCAPEMENT,STAMP RIVER,Hand,CHINOOK SALMON,124,Adult,26-OCT-01,26-OCT-01,2001702050181599,81599,5 SCALES DOWN PER FISH,Scales,7,03,EU,03,41,,,,28663,CN01-085,15,,Not Marked,
2387381,2001,23,124,2001 Robertson Cr Fall Chinook,River Assessment,8,26-OCT-01,26-OCT-01,,,,,,,,,,Adult,5D,81599,,Female,,,3,,,,1000,,,810,15,,,A-1,104,,,,51,,,,,FALSE,Dead Pitch,,,,,,CN01-085,Robertson Cr,River,,,,,,Released,,NOMK,Single,M,,,,170,8,,Robertson Creek,,,,,,,,,,Natural Spawner,,,,,,,Hand,Hatchery,,SOMASS RIVER CHINOOK ENUMERATION - KEYSTREAM-2001,2001,501,ESCAPEMENT,STAMP RIVER,Hand,CHINOOK SALMON,124,Adult,26-OCT-01,26-OCT-01,2001702050181599,81599,5 SCALES DOWN PER FISH,Scales,8,04,EU,04,51,,,,28664,CN01-085,15,2-2H,2-2H,ROBERTSON CREEK HATCHERY
2387382,2001,23,124,2001 Robertson Cr Fall Chinook,River Assessment,9,26-OCT-01,26-OCT-01,,,,,,,,,,Adult,5D,81599,,Female,,,3,,,,830,,,661,15,,,A-1,104,,,,41,,,,,FALSE,Dead Pitch,,,,,,CN01-085,Robertson Cr,River,,,,,,Released,,NOMK,Single,M,,,,171,9,,Robertson Creek,,,,,,,,,,Natural Spawner,,,,,,,Hand,Hatchery,,SOMASS RIVER CHINOOK ENUMERATION - KEYSTREAM-2001,2001,501,ESCAPEMENT,STAMP RIVER,Hand,CHINOOK SALMON,124,Adult,26-OCT-01,26-OCT-01,2001702050181599,81599,5 SCALES DOWN PER FISH,Scales,9,03,EU,03,41,,,,28665,CN01-085,15,4H,4H,ROBERTSON CREEK HATCHERY
2386564,2001,23,124,2001 Robertson Cr Fall Chinook,River Assessment,10,26-OCT-01,26-OCT-01,,,,,,,,,,Adult,5D,81599,,Female,,,3,,,,886,,,732,15,,,A-1,104,,,,41,,,,,FALSE,Dead Pitch,,,,,,CN01-085,Robertson Cr,River,,,,,,Released,,NOMK,Single,M,,,,172,10,,Robertson Creek,,,,,,,,,,Natural Spawner,,,,,,,Hand,Hatchery,,SOMASS RIVER CHINOOK ENUMERATION - KEYSTREAM-2001,2001,501,ESCAPEMENT,STAMP RIVER,Hand,CHINOOK SALMON,124,Adult,26-OCT-01,26-OCT-01,2001702050181599,81599,5 SCALES DOWN PER FISH,Scales,10,03,EU,03,41,,,,28666,CN01-085,15,2-2H,2-2H,ROBERTSON CREEK HATCHERY
2386565,2001,23,124,2001 Robertson Cr Fall Chinook,River Assessment,11,26-OCT-01,26-OCT-01,,,,,,,,,,Adult,5D,81600,,Female,,,3,,,,962,,,773,15,,,A-1,104,,,,51,,,,,FALSE,Dead Pitch,,,,,,CN01-085,Robertson Cr,River,,,,,,Released,,NOMK,Single,M,,,,173,1,,Robertson Creek,,,,,,,,,,Natural Spawner,,,,,,,Hand,Hatchery,,SOMASS RIVER CHINOOK ENUMERATION - KEYSTREAM-2001,2001,501,ESCAPEMENT,STAMP RIVER,Hand,CHINOOK SALMON,124,Adult,26-OCT-01,26-OCT-01,2001702050181600,81600,5 SCALES DOWN PER FISH,Scales,1,04,EU,04,51,,,,28667,CN01-085,15,2-2H,2-2H,ROBERTSON CREEK HATCHERY
2386566,2001,23,124,2001 Robertson Cr Fall Chinook,River Assessment,12,26-OCT-01,26-OCT-01,,,,,,,,,,Adult,5D,81600,,Female,,,3,,,,822,,,671,15,,,A-1,104,,,,41,,,,,FALSE,Dead Pitch,,,,,,CN01-085,Robertson Cr,River,,,,,,Released,,NOMK,Single,M,,,,174,2,,Robertson Creek,,,,,,,,,,Natural Spawner,,,,,,,Hand,Hatchery,,SOMASS RIVER CHINOOK ENUMERATION - KEYSTREAM-2001,2001,501,ESCAPEMENT,STAMP RIVER,Hand,CHINOOK SALMON,124,Adult,26-OCT-01,26-OCT-01,2001702050181600,81600,5 SCALES DOWN PER FISH,Scales,2,03,EU,03,41,,,,28668,CN01-085,15,2-2H,2-2H,ROBERTSON CREEK HATCHERY
2386567,2001,23,124,2001 Robertson Cr Fall Chinook,River Assessment,13,26-OCT-01,26-OCT-01,,,,,,,,,,Adult,5D,81600,,Female,,,3,,,,831,,,659,15,,,A-1,104,,,,41,,,,,FALSE,Dead Pitch,,,,,,CN01-085,Robertson Cr,River,,,,,,Released,,NOMK,Single,M,,,,175,3,,Robertson Creek,,,,,,,,,,Natural Spawner,,,,,,,Hand,Hatchery,,SOMASS RIVER CHINOOK ENUMERATION - KEYSTREAM-2001,2001,501,ESCAPEMENT,STAMP RIVER,Hand,CHINOOK SALMON,124,Adult,26-OCT-01,26-OCT-01,2001702050181600,81600,5 SCALES DOWN PER FISH,Scales,3,03,EU,03,41,,,,28669,CN01-085,15,2-2H,2-2H,ROBERTSON CREEK HATCHERY
